"genus","species","taxon"
"Turbicellepora","Turbicellepora avicularis",NA
"Pyrgiscus","Pyrgiscus crenatus",NA
"Turbonilla","Turbonilla interrupta",NA
"Turbonilla","Turbonilla jeffreysii",NA
"Pyrgiscus","Pyrgiscus rufescens",NA
"Turrisipho","Turrisipho fenestratus",NA
"Turritella","Turritella communis",NA
"Typhlomangelia","Typhlomangelia nivalis",NA
"Typhlotanais","Typhlotanais aequiremis",NA
"Ulophysema","Ulophysema oeresundense",NA
"Uncinais","Uncinais uncinata",NA
"Unciola","Unciola planipes",NA
"Unio","Unio crassus",NA
"Unio","Unio pictorum",NA
"Unio","Unio tumidus",NA
"Upogebia","Upogebia deltaura",NA
"Upogebia","Upogebia stellata",NA
"Urothoe","Urothoe elegans",NA
"Urothoe","Urothoe poseidonis",NA
"Urticina","Urticina felina",NA
"Valvata","Valvata cristata",NA
"Valvata","Valvata macrostoma",NA
"Valvata","Valvata piscinalis",NA
"Vejdovskyella","Vejdovskyella comata",NA
"Vejdovskyella","Vejdovskyella intermedia",NA
"Vejdovskyella","Vejdovskyella macrochaeta",NA
"Velutina","Velutina velutina",NA
"Venerupis","Venerupis corrugata",NA
"Verruca","Verruca stroemia",NA
"Victorella","Victorella pavida",NA
"Virgularia","Virgularia mirabilis",NA
"Vitreolina","Vitreolina philippi",NA
"Viviparus","Viviparus contectus",NA
"Viviparus","Viviparus viviparus",NA
"Vosmaeria","Vosmaeria crustacea",NA
"Walkeria","Walkeria uva",NA
"Westwoodilla","Westwoodilla caecula",NA
"Wormaldia","Wormaldia subnigra",NA
"Xantho","Xantho pilipes",NA
"Xenochironomus","Xenochironomus xenolabis",NA
"Xenoturbella","Xenoturbella bocki",NA
"Ylodes","Ylodes reuteri",NA
"Yoldiella","Yoldiella lucida",NA
"Zalutschia","Zalutschia mucronata",NA
"Zirfaea","Zirfaea crispata",NA
"Acartia","Acartia bifilosa",NA
"Acartia","Acartia tonsa",NA
"Acartia","Acartia clausi",NA
"Acartia","Acartia discaudata",NA
"Acartia","Acartia longiremis",NA
"Actinocythereis","Actinocythereis dunelmensis",NA
"Alcyonidioides","Alcyonidioides mytili",NA
"Ampharete","Ampharete grubei",NA
"Ampharete","Ampharete lindstroemi",NA
"Amphisbetia","Amphisbetia operculata",NA
"Anomia","Anomia ephippium",NA
"Antalis","Antalis entalis",NA
"Aphelochaeta","Aphelochaeta mcintoshi",NA
"Ascidicola","Ascidicola rosea",NA
"Aulactinia","Aulactinia verrucosa",NA
"Aulodrilus","Aulodrilus pluriseta",NA
"Aurelia","Aurelia aurita",NA
"Bispira","Bispira crassicornis",NA
"Bugulina","Bugulina avicularia",NA
"Buskia","Buskia nitens",NA
"Calanus","Calanus finmarchicus",NA
"Callopora","Callopora rylandi",NA
"Campanularia","Campanularia hincksii",NA
"Centropages","Centropages hamatus",NA
"Centropages","Centropages typicus",NA
"Cercopagis","Cercopagis pengoi",NA
"Cercopagis","Cercopagis pengoi",NA
"Chiridota","Chiridota laevis",NA
"Chone","Chone fauveli",NA
"Circeis","Circeis spirillum",NA
"Clavelina","Clavelina lepadiformis",NA
"Coryne","Coryne pusilla",NA
"Cribrilina","Cribrilina annulata",NA
"Cryptocelides","Cryptocelides loveni",NA
"Cumopsis","Cumopsis goodsir",NA
"Cuspidella","Cuspidella humilis",NA
"Cyanea","Cyanea capillata",NA
"Cyclops","Cyclops vicinus",NA
"Cyprideis","Cyprideis torosa",NA
"Daphnia","Daphnia cucullata",NA
"Diphasia","Diphasia rosacea",NA
"Diplocirrus","Diplocirrus hirsutus",NA
"Drilonereis","Drilonereis filum",NA
"Ericthonius","Ericthonius brasiliensis",NA
"Ericthonius","Ericthonius rubricornis",NA
"Escharella","Escharella klugei",NA
"Escharella","Escharella labiosa",NA
"Escharella","Escharella variolosa",NA
"Euclymene","Euclymene droebachiensis",NA
"Eudendrium","Eudendrium arbuscula",NA
"Eudorella","Eudorella hirsuta",NA
"Eurytemora","Eurytemora affinis",NA
"Eusyllis","Eusyllis blomstrandi",NA
"Fabricia","Fabricia stellaris",NA
"Gammaropsis","Gammaropsis palmata",NA
"Glossiphonia","Glossiphonia heteroclita",NA
"Goniada","Goniada pallida",NA
"Grandidierella","Grandidierella japonica",NA
"Halecium","Halecium articulosum",NA
"Halecium","Halecium beanii",NA
"Halecium","Halecium lankesterii",NA
"Halecium","Halecium muricatum",NA
"Halecium","Halecium nanum",NA
"Halopteris","Halopteris catharina",NA
"Haplota","Haplota clavata",NA
"Hippomedon","Hippomedon propinqvus",NA
"Holocentropus","Holocentropus dubius",NA
"Hubrechtella","Hubrechtella dubia",NA
"Hybocodon","Hybocodon prolifer",NA
"Hydropsyche","Hydropsyche angustipennis",NA
"Hydropsyche","Hydropsyche siltalai",NA
"Idotea","Idotea neglecta",NA
"Iphinoe","Iphinoe trispinosa",NA
"Jaera","Jaera ischiosetosa",NA
"Jaera","Jaera praehirsuta",NA
"Janua","Janua heterostropha",NA
"Lamispina","Lamispina falcata",NA
"Laomedea","Laomedea neglecta",NA
"Leucandra","Leucandra gossei",NA
"Leucosolenia","Leucosolenia botryoides",NA
"Limnocalanus","Limnocalanus macrurus",NA
"Magallana","Magallana gigas",NA
"Malacoceros","Malacoceros vulgaris",NA
"Marenzelleria","Marenzelleria wireni",NA
"Meganyctiphanes","Meganyctiphanes norvegica",NA
"Metopa","Metopa borealis",NA
"Metridia","Metridia lucens",NA
"Microdeutopus","Microdeutopus damnoniensis",NA
"Modiolula","Modiolula phaseolina",NA
"Nemertesia","Nemertesia norvegica",NA
"Neogyptis","Neogyptis rosea",NA
"Nolella","Nolella gigantea",NA
"Nucella","Nucella lapillus",NA
"Nucula","Nucula hanleyi",NA
"Nymphula","Nymphula nitidulata",NA
"Obelia","Obelia dichotoma",NA
"Oithona","Oithona similis",NA
"Ophiocten","Ophiocten gracilis",NA
"Orthopyxis","Orthopyxis integra",NA
"Ostrea","Ostrea edulis",NA
"Paracalanus","Paracalanus parvus",NA
"Paradulichia","Paradulichia typica",NA
"Parakiefferiella","Parakiefferiella smolandica",NA
"Paralauterborniella","Paralauterborniella nigrohalteralis",NA
"Parapleustes","Parapleustes bicuspis",NA
"Parasagitta","Parasagitta setosa",NA
"Peregriana","Peregriana peregra",NA
"Philine","Philine quadripartita",NA
"Philomedes","Philomedes lilljeborgi",NA
"Philomedes","Philomedes brenda",NA
"Philomedes","Philomedes globosus",NA
"Pilumnus","Pilumnus hirtellus",NA
"Pistella","Pistella lornensis",NA
"Pleopis","Pleopis polyphemoides",NA
"Plumularia","Plumularia setacea",NA
"Polyphemus","Polyphemus pediculus",NA
"Processa","Processa edulis",NA
"Prosphaerosyllis","Prosphaerosyllis tetralix",NA
"Prostheceraeus","Prostheceraeus vittatus",NA
"Pseudocalanus","Pseudocalanus minutus",NA
"Pseudomystides","Pseudomystides limbata",NA
"Pterygocythereis","Pterygocythereis jonesii",NA
"Pterygocythereis","Pterygocythereis mucronata",NA
"Rangia","Rangia cuneata",NA
"Rhodinicola","Rhodinicola elongata",NA
"Rhodinicola","Rhodinicola gibbosa",NA
"Robertsonites","Robertsonites tuberculatus",NA
"Sarsicytheridea","Sarsicytheridea bradii",NA
"Schizotricha","Schizotricha frutescens",NA
"Sertularella","Sertularella polyzonias",NA
"Sertularella","Sertularella tenella",NA
"Spio","Spio arndti",NA
"Spiochaetopterus","Spiochaetopterus bergensis",NA
"Spirorbis","Spirorbis inornatus",NA
"Stempellinella","Stempellinella edwardsi",NA
"Stenothoe","Stenothoe marina",NA
"Streblosoma","Streblosoma bairdi",NA
"Streblospio","Streblospio benedicti",NA
"Styela","Styela clava",NA
"Temora","Temora longicornis",NA
"Tmetonyx","Tmetonyx cicada",NA
"Tubulipora","Tubulipora phalangea",NA
"Urothoe","Urothoe brevicornis",NA
"Urothoe","Urothoe grimaldii",NA
"Valvata","Valvata sibirica",NA
"Myxine","Myxine glutinosa",NA
"Lampetra","Lampetra fluviatilis",NA
"Petromyzon","Petromyzon marinus",NA
"Lamna","Lamna nasus",NA
"Cetorhinus","Cetorhinus maximus",NA
"Alopias","Alopias vulpinus",NA
"Galeus","Galeus melastomus",NA
"Scyliorhinus","Scyliorhinus canicula",NA
"Scyliorhinus","Scyliorhinus stellaris",NA
"Galeorhinus","Galeorhinus galeus",NA
"Mustelus","Mustelus asterias",NA
"Mustelus","Mustelus mustelus",NA
"Prionace","Prionace glauca",NA
"Etmopterus","Etmopterus spinax",NA
"Somniosus","Somniosus microcephalus",NA
"Oxynotus","Oxynotus centrina",NA
"Squalus","Squalus acanthias",NA
"Pristis","Pristis pectinata",NA
"Squatina","Squatina squatina",NA
"Torpedo","Torpedo marmorata",NA
"Tetronarce","Tetronarce nobiliana",NA
"Amblyraja","Amblyraja radiata",NA
"Dipturus","Dipturus batis",NA
"Dipturus","Dipturus nidarosiensis",NA
"Leucoraja","Leucoraja fullonica",NA
"Leucoraja","Leucoraja naevus",NA
"Raja","Raja clavata",NA
"Dasyatis","Dasyatis pastinaca",NA
"Myliobatis","Myliobatis aquila",NA
"Chimaera","Chimaera monstrosa",NA
"Acipenser","Acipenser baerii",NA
"Acipenser","Acipenser gueldenstaedtii",NA
"Acipenser","Acipenser oxyrinchus",NA
"Acipenser","Acipenser ruthenus",NA
"Acipenser","Acipenser stellatus",NA
"Huso","Huso huso",NA
"Anguilla","Anguilla anguilla",NA
"Conger","Conger conger",NA
"Alosa","Alosa alosa",NA
"Alosa","Alosa fallax",NA
"Clupea","Clupea harengus",NA
"Sardina","Sardina pilchardus",NA
"Sprattus","Sprattus sprattus",NA
"Engraulis","Engraulis encrasicolus",NA
"Rhodeus","Rhodeus sericeus",NA
"Carassius","Carassius carassius",NA
"Carassius","Carassius gibelio",NA
"Cyprinus","Cyprinus carpio",NA
"Barbus","Barbus barbus",NA
"Abramis","Abramis brama",NA
"Leuciscus","Leuciscus aspius",NA
"Ballerus","Ballerus ballerus",NA
"Blicca","Blicca bjoerkna",NA
"Leucaspius","Leucaspius delineatus",NA
"Leuciscus","Leuciscus idus",NA
"Leuciscus","Leuciscus leuciscus",NA
"Pelecus","Pelecus cultratus",NA
"Phoxinus","Phoxinus phoxinus",NA
"Rutilus","Rutilus rutilus",NA
"Scardinius","Scardinius erythrophthalmus",NA
"Squalius","Squalius cephalus",NA
"Vimba","Vimba vimba",NA
"Ctenopharyngodon","Ctenopharyngodon idella",NA
"Tinca","Tinca tinca",NA
"Hypophthalmichthys","Hypophthalmichthys molitrix",NA
"Hypophthalmichthys","Hypophthalmichthys nobilis",NA
"Gobio","Gobio gobio",NA
"Alburnus","Alburnus alburnus",NA
"Cobitis","Cobitis taenia",NA
"Misgurnus","Misgurnus fossilis",NA
"Barbatula","Barbatula barbatula",NA
"Catostomus","Catostomus catostomus",NA
"Ameiurus","Ameiurus nebulosus",NA
"Silurus","Silurus glanis",NA
"Esox","Esox lucius",NA
"Argentina","Argentina silus",NA
"Argentina","Argentina sphyraena",NA
"Osmerus","Osmerus eperlanus",NA
"Coregonus","Coregonus albula",NA
"Coregonus","Coregonus maraena",NA
"Coregonus","Coregonus peled",NA
"Oncorhynchus","Oncorhynchus gorbuscha",NA
"Oncorhynchus","Oncorhynchus keta",NA
"Oncorhynchus","Oncorhynchus kisutch",NA
"Oncorhynchus","Oncorhynchus mykiss",NA
"Oncorhynchus","Oncorhynchus tshawytscha",NA
"Salmo","Salmo salar",NA
"Salmo","Salmo trutta",NA
"Salvelinus","Salvelinus fontinalis",NA
"Salvelinus","Salvelinus namaycush",NA
"Thymallus","Thymallus thymallus",NA
"Maurolicus","Maurolicus muelleri",NA
"Arctozenus","Arctozenus risso",NA
"Magnisudis","Magnisudis atlantica",NA
"Notoscopelus","Notoscopelus elongatus",NA
"Lampris","Lampris guttatus",NA
"Trachipterus","Trachipterus arcticus",NA
"Coryphaenoides","Coryphaenoides rupestris",NA
"Gadus","Gadus morhua",NA
"Melanogrammus","Melanogrammus aeglefinus",NA
"Merlangius","Merlangius merlangus",NA
"Micromesistius","Micromesistius poutassou",NA
"Pollachius","Pollachius pollachius",NA
"Pollachius","Pollachius virens",NA
"Raniceps","Raniceps raninus",NA
"Trisopterus","Trisopterus esmarkii",NA
"Trisopterus","Trisopterus luscus",NA
"Trisopterus","Trisopterus minutus",NA
"Brosme","Brosme brosme",NA
"Ciliata","Ciliata mustela",NA
"Enchelyopus","Enchelyopus cimbrius",NA
"Gaidropsarus","Gaidropsarus vulgaris",NA
"Lota","Lota lota",NA
"Molva","Molva dypterygia",NA
"Molva","Molva molva",NA
"Merluccius","Merluccius merluccius",NA
"Phycis","Phycis blennoides",NA
"Halobatrachus","Halobatrachus didactylus",NA
"Lophius","Lophius piscatorius",NA
"Atherina","Atherina presbyter",NA
"Scomberesox","Scomberesox saurus",NA
"Belone","Belone belone",NA
"Cheilopogon","Cheilopogon heterurus",NA
"Beryx","Beryx decadactylus",NA
"Zeus","Zeus faber",NA
"Gasterosteus","Gasterosteus aculeatus",NA
"Gasterosteus","Gasterosteus gymnurus",NA
"Pungitius","Pungitius pungitius",NA
"Spinachia","Spinachia spinachia",NA
"Entelurus","Entelurus aequoreus",NA
"Nerophis","Nerophis lumbriciformis",NA
"Nerophis","Nerophis ophidion",NA
"Syngnathus","Syngnathus acus",NA
"Syngnathus","Syngnathus rostellatus",NA
"Syngnathus","Syngnathus typhle",NA
"Hippocampus","Hippocampus hippocampus",NA
"Sebastes","Sebastes norvegicus",NA
"Sebastes","Sebastes viviparus",NA
"Chelidonichthys","Chelidonichthys cuculus",NA
"Chelidonichthys","Chelidonichthys lucerna",NA
"Eutrigla","Eutrigla gurnardus",NA
"Chelidonichthys","Chelidonichthys lastoviza",NA
"Cottus","Cottus gobio",NA
"Cottus","Cottus poecilopus",NA
"Myoxocephalus","Myoxocephalus scorpius",NA
"Taurulus","Taurulus bubalis",NA
"Triglops","Triglops murrayi",NA
"Myoxocephalus","Myoxocephalus quadricornis",NA
"Agonus","Agonus cataphractus",NA
"Cyclopterus","Cyclopterus lumpus",NA
"Liparis","Liparis liparis",NA
"Liparis","Liparis montagui",NA
"Dicentrarchus","Dicentrarchus labrax",NA
"Polyprion","Polyprion americanus",NA
"Gymnocephalus","Gymnocephalus cernua",NA
"Perca","Perca fluviatilis",NA
"Sander","Sander lucioperca",NA
"Remora","Remora remora",NA
"Trachinotus","Trachinotus ovatus",NA
"Trachurus","Trachurus trachurus",NA
"Brama","Brama brama",NA
"Boops","Boops boops",NA
"Dentex","Dentex maroccanus",NA
"Diplodus","Diplodus sargus",NA
"Pagellus","Pagellus bogaraveo",NA
"Pagellus","Pagellus erythrinus",NA
"Sarpa","Sarpa salpa",NA
"Sparus","Sparus aurata",NA
"Spondyliosoma","Spondyliosoma cantharus",NA
"Argyrosomus","Argyrosomus regius",NA
"Mullus","Mullus surmuletus",NA
"Chelon","Chelon labrosus",NA
"Chelon","Chelon auratus",NA
"Chelon","Chelon ramada",NA
"Astronotus","Astronotus ocellatus",NA
"Centrolabrus","Centrolabrus exoletus",NA
"Ctenolabrus","Ctenolabrus rupestris",NA
"Coris","Coris julis",NA
"Labrus","Labrus bergylta",NA
"Labrus","Labrus mixtus",NA
"Symphodus","Symphodus melops",NA
"Lycodes","Lycodes gracilis",NA
"Zoarces","Zoarces viviparus",NA
"Chirolophis","Chirolophis ascanii",NA
"Lumpenus","Lumpenus lampretaeformis",NA
"Pholis","Pholis gunnellus",NA
"Anarhichas","Anarhichas lupus",NA
"Anarhichas","Anarhichas minor",NA
"Ammodytes","Ammodytes marinus",NA
"Ammodytes","Ammodytes tobianus",NA
"Hyperoplus","Hyperoplus lanceolatus",NA
"Echiichthys","Echiichthys vipera",NA
"Trachinus","Trachinus draco",NA
"Callionymus","Callionymus lyra",NA
"Callionymus","Callionymus maculatus",NA
"Aphia","Aphia minuta",NA
"Babka","Babka gymnotrachelus",NA
"Crystallogobius","Crystallogobius linearis",NA
"Gobius","Gobius niger",NA
"Gobiusculus","Gobiusculus flavescens",NA
"Lebetus","Lebetus guilleti",NA
"Lebetus","Lebetus scorpioides",NA
"Lesueurigobius","Lesueurigobius friesii",NA
"Neogobius","Neogobius fluviatilis",NA
"Neogobius","Neogobius melanostomus",NA
"Pomatoschistus","Pomatoschistus microps",NA
"Pomatoschistus","Pomatoschistus minutus",NA
"Pomatoschistus","Pomatoschistus norvegicus",NA
"Pomatoschistus","Pomatoschistus pictus",NA
"Proterorhinus","Proterorhinus marmoratus",NA
"Thorogobius","Thorogobius ephippiatus",NA
"Nesiarchus","Nesiarchus nasutus",NA
"Xiphias","Xiphias gladius",NA
"Auxis","Auxis rochei",NA
"Euthynnus","Euthynnus alletteratus",NA
"Katsuwonus","Katsuwonus pelamis",NA
"Sarda","Sarda sarda",NA
"Scomber","Scomber scombrus",NA
"Thunnus","Thunnus thynnus",NA
"Centrolophus","Centrolophus niger",NA
"Schedophilus","Schedophilus medusophagus",NA
"Capros","Capros aper",NA
"Lepidorhombus","Lepidorhombus whiffiagonis",NA
"Phrynorhombus","Phrynorhombus norvegicus",NA
"Scophthalmus","Scophthalmus maximus",NA
"Scophthalmus","Scophthalmus rhombus",NA
"Zeugopterus","Zeugopterus punctatus",NA
"Arnoglossus","Arnoglossus laterna",NA
"Glyptocephalus","Glyptocephalus cynoglossus",NA
"Hippoglossoides","Hippoglossoides platessoides",NA
"Hippoglossus","Hippoglossus hippoglossus",NA
"Limanda","Limanda limanda",NA
"Liopsetta","Liopsetta glacialis",NA
"Microstomus","Microstomus kitt",NA
"Platichthys","Platichthys flesus",NA
"Pleuronectes","Pleuronectes platessa",NA
"Buglossidium","Buglossidium luteum",NA
"Solea","Solea solea",NA
"Balistes","Balistes capriscus",NA
"Mola","Mola mola",NA
"Perccottus","Perccottus glenii",NA
"Romanogobio","Romanogobio albipinnatus",NA
"Acinetospora","Acinetospora crinita",NA
"Ulvella","Ulvella cladophorae",NA
"Epicladia","Epicladia flustrae",NA
"Ulvella","Ulvella heteroclada",NA
"Ulvella","Ulvella inflata",NA
"Ulvella","Ulvella leptochaete",NA
"Ulvella","Ulvella operculata",NA
"Ulvella","Ulvella repens",NA
"Ulvella","Ulvella viridis",NA
"Ulvella","Ulvella wittrockii",NA
"Acrochaetium","Acrochaetium attenuatum",NA
"Acrochaetium","Acrochaetium balticum",NA
"Acrochaetium","Acrochaetium catenulatum",NA
"Acrochaetium","Acrochaetium cytophagum",NA
"Acrochaetium","Acrochaetium dumontiae",NA
"Colaconema","Colaconema emergens",NA
"Acrochaetium","Acrochaetium endozoicum",NA
"Colaconema","Colaconema gynandrum",NA
"Colaconema","Colaconema hallandicum",NA
"Acrochaetium","Acrochaetium humile",NA
"Acrochaetium","Acrochaetium immersum",NA
"Acrochaetium","Acrochaetium kylinii",NA
"Colaconema","Colaconema leptonema",NA
"Acrochaetium","Acrochaetium macula",NA
"Acrochaetium","Acrochaetium microscopicum",NA
"Colaconema","Colaconema minimum",NA
"Acrochaetium","Acrochaetium moniliforme",NA
"Colaconema","Colaconema nemalionis",NA
"Acrochaetium","Acrochaetium parvulum",NA
"Acrochaetium","Acrochaetium reductum",NA
"Acrochaetium","Acrochaetium secundatum",NA
"Kylinia","Kylinia rosulata",NA
"Colaconema","Colaconema savianum",NA
"Acrochaetium","Acrochaetium stilophorae",NA
"Acrosiphonia","Acrosiphonia arcta",NA
"Acrosiphonia","Acrosiphonia sonderi",NA
"Acrothrix","Acrothrix gracilis",NA
"Aegagropila","Aegagropila linnaei",NA
"Aglaothamnion","Aglaothamnion bipinnatum",NA
"Gaillona","Gaillona hookeri",NA
"Gaillona","Gaillona rosea",NA
"Aglaothamnion","Aglaothamnion tenuissimum",NA
"Ahnfeltia","Ahnfeltia plicata",NA
"Alaria","Alaria esculenta",NA
"Alisma","Alisma gramineum",NA
"Alisma","Alisma plantago-aquatica",NA
"Alisma","Alisma wahlenbergii",NA
"Antithamnion","Antithamnion cruciatum",NA
"Antithamnion","Antithamnion villosum",NA
"Antithamnionella","Antithamnionella floccosa",NA
"Aphanochaete","Aphanochaete repens",NA
"Apoglossum","Apoglossum ruscifolium",NA
"Arthrocladia","Arthrocladia villosa",NA
"Ascophyllum","Ascophyllum nodosum",NA
"Asperococcus","Asperococcus bullosus",NA
"Asperococcus","Asperococcus ensiformis",NA
"Asperococcus","Asperococcus fistulosus",NA
"Atractophora","Atractophora hypnoides",NA
"Bangia","Bangia atropurpurea",NA
"Torularia","Torularia atra",NA
"Batrachospermum","Batrachospermum sp.",NA
"Blastophysa","Blastophysa rhizopus",NA
"Blidingia","Blidingia marginata",NA
"Blidingia","Blidingia minima",NA
"Bolbocoleon","Bolbocoleon piliferum",NA
"Bolboschoenus","Bolboschoenus maritimus",NA
"Bonnemaisonia","Bonnemaisonia asparagoides",NA
"Bonnemaisonia","Bonnemaisonia hamifera",NA
"Botrytella","Botrytella micromora",NA
"Botrytella","Botrytella reinboldii",NA
"Vertebrata","Vertebrata byssoides",NA
"Bryopsis","Bryopsis hypnoides",NA
"Bryopsis","Bryopsis plumosa",NA
"Butomus","Butomus umbellatus",NA
"Callithamnion","Callithamnion corymbosum",NA
"Callithamnion","Callithamnion tetragonum",NA
"Callitriche","Callitriche cophocarpa",NA
"Callitriche","Callitriche hermaphroditica",NA
"Callitriche","Callitriche palustris",NA
"Euthora","Euthora cristata",NA
"Caltha","Caltha palustris",NA
"Capsosiphon","Capsosiphon fulvescens",NA
"Ceramium","Ceramium cimbricum",NA
"Ceramium","Ceramium diaphanum",NA
"Ceramium","Ceramium echionotum",NA
"Ceramium","Ceramium pallidum",NA
"Ceramium","Ceramium siliquosum",NA
"Ceramium","Ceramium tenuicorne",NA
"Ceramium","Ceramium virgatum",NA
"Coccotylus","Coccotylus hartzii",NA
"Ceratophyllum","Ceratophyllum demersum",NA
"Chaetomorpha","Chaetomorpha aerea",NA
"Chaetomorpha","Chaetomorpha ligustica",NA
"Chaetomorpha","Chaetomorpha linum",NA
"Chaetomorpha","Chaetomorpha melagonium",NA
"Chaetophora","Chaetophora lobata",NA
"Chara","Chara aspera",NA
"Chara","Chara baltica",NA
"Chara","Chara braunii",NA
"Chara","Chara canescens",NA
"Chara","Chara connivens",NA
"Chara","Chara globularis",NA
"Chara","Chara hispida",NA
"Chara","Chara horrida",NA
"Chara","Chara polyacantha",NA
"Chara","Chara tomentosa",NA
"Chara","Chara virgata",NA
"Chara","Chara vulgaris",NA
"Chilionema","Chilionema ocellatum",NA
"Chlorochytrium","Chlorochytrium cohnii",NA
"Chlorochytrium","Chlorochytrium dermatocolax",NA
"Chondria","Chondria dasyphylla",NA
"Chondrus","Chondrus crispus",NA
"Chorda","Chorda filum",NA
"Chordaria","Chordaria flagelliformis",NA
"Choreonema","Choreonema thuretii",NA
"Chroodactylon","Chroodactylon ornatum",NA
"Chylocladia","Chylocladia verticillata",NA
"Cladophora","Cladophora albida",NA
"Cladophora","Cladophora dalmatica",NA
"Cladophora","Cladophora flexuosa",NA
"Cladophora","Cladophora fracta",NA
"Cladophora","Cladophora glomerata",NA
"Cladophora","Cladophora hutchinsiae",NA
"Cladophora","Cladophora laetevirens",NA
"Cladophora","Cladophora lehmanniana",NA
"Cladophora","Cladophora pachyderma",NA
"Lychaete","Lychaete pygmaea",NA
"Cladophora","Cladophora rupestris",NA
"Cladophora","Cladophora sericea",NA
"Cladophora","Cladophora vadorum",NA
"Cladophora","Cladophora vagabunda",NA
"Cladosiphon","Cladosiphon contortus",NA
"Cladosiphon","Cladosiphon zosterae",NA
"Cladostephus","Cladostephus spongiosus",NA
"Coccomyxa","Coccomyxa parasitica",NA
"Coccotylus","Coccotylus truncatus",NA
"Codium","Codium fragile",NA
"Colaconema","Colaconema daviesii",NA
"Rubrointrusa","Rubrointrusa membranacea",NA
"Colaconema","Colaconema pectinatum",NA
"Colpomenia","Colpomenia peregrina",NA
"Compsonema","Compsonema saxicola",NA
"Compsothamnion","Compsothamnion gracillimum",NA
"Compsothamnion","Compsothamnion thuioides",NA
"Corallina","Corallina officinalis",NA
"Crassula","Crassula aquatica",NA
"Cruoria","Cruoria pellita",NA
"Cruoriopsis","Cruoriopsis danica",NA
"Cutleria","Cutleria multifida",NA
"Cystoclonium","Cystoclonium purpureum",NA
"Cystoseira","Cystoseira baccata",NA
"Neodangemannia","Neodangemannia microcystis",NA
"Dasya","Dasya baillouviana",NA
"Delamarea","Delamarea attenuata",NA
"Delesseria","Delesseria sanguinea",NA
"Derbesia","Derbesia marina",NA
"Desmarestia","Desmarestia aculeata",NA
"Desmarestia","Desmarestia viridis",NA
"Dictyosiphon","Dictyosiphon chordaria",NA
"Dictyosiphon","Dictyosiphon foeniculaceus",NA
"Dictyota","Dictyota dichotoma",NA
"Dilsea","Dilsea carnosa",NA
"Drepanocladus","Drepanocladus aduncus",NA
"Dudresnaya","Dudresnaya verticillata",NA
"Dumontia","Dumontia contorta",NA
"Ectocarpus","Ectocarpus fasciculatus",NA
"Ectocarpus","Ectocarpus siliculosus",NA
"Elachista","Elachista fucicola",NA
"Elachista","Elachista stellaris",NA
"Elatine","Elatine hydropiper",NA
"Elatine","Elatine triandra",NA
"Eleocharis","Eleocharis acicularis",NA
"Eleocharis","Eleocharis palustris",NA
"Eleocharis","Eleocharis parvula",NA
"Eleocharis","Eleocharis uniglumis",NA
"Elodea","Elodea canadensis",NA
"Elodea","Elodea nuttallii",NA
"Ulva","Ulva splitiana",NA
"Epicladia","Epicladia cyclostoma",NA
"Epicladia","Epicladia heterotricha",NA
"Epicladia","Epicladia perforans",NA
"Epicladia","Epicladia phillipsii",NA
"Ulvella","Ulvella testarum",NA
"Equisetum","Equisetum fluviatile",NA
"Erythrocladia","Erythrocladia irregularis",NA
"Erythrodermis","Erythrodermis traillii",NA
"Erythrotrichia","Erythrotrichia carnea",NA
"Erythrotrichia","Erythrotrichia investiens",NA
"Erythrotrichia","Erythrotrichia reflexa",NA
"Eudesme","Eudesme virescens",NA
"Eugomontia","Eugomontia sacculata",NA
"Feldmannia","Feldmannia irregularis",NA
"Feldmannia","Feldmannia kjellmanii",NA
"Fontinalis","Fontinalis antipyretica",NA
"Fissidens","Fissidens fontanus",NA
"Fontinalis","Fontinalis dalecarlica",NA
"Fontinalis","Fontinalis hypnoides",NA
"Fucus","Fucus distichus",NA
"Fucus","Fucus radicans",NA
"Fucus","Fucus serratus",NA
"Fucus","Fucus spiralis",NA
"Fucus","Fucus vesiculosus",NA
"Furcellaria","Furcellaria lumbricalis",NA
"Gayralia","Gayralia oxysperma",NA
"Giraudya","Giraudya sphacelarioides",NA
"Gloiosiphonia","Gloiosiphonia capillaris",NA
"Glyceria","Glyceria maxima",NA
"Gomontia","Gomontia polyrhiza",NA
"Gracilaria","Gracilaria gracilis",NA
"Agarophyton","Agarophyton vermiculophyllum",NA
"Grania","Grania efflorescens",NA
"Griffithsia","Griffithsia corallinoides",NA
"Griffithsia","Griffithsia devoniensis",NA
"Gymnogongrus","Gymnogongrus sp.",NA
"Haemescharia","Haemescharia hennedyi",NA
"Halarachnion","Halarachnion ligulatum",NA
"Halidrys","Halidrys siliquosa",NA
"Halonema","Halonema subsimplex",NA
"Halorhiza","Halorhiza vaga",NA
"Halosiphon","Halosiphon tomentosus",NA
"Halothrix","Halothrix lumbricalis",NA
"Haplospora","Haplospora globosa",NA
"Harveyella","Harveyella mirabilis",NA
"Hecatonema","Hecatonema terminale",NA
"Helminthora","Helminthora divaricata",NA
"Herponema","Herponema desmarestiae",NA
"Dasysiphonia","Dasysiphonia japonica",NA
"Heterosiphonia","Heterosiphonia plumosa",NA
"Hildenbrandia","Hildenbrandia crouaniorum",NA
"Hildenbrandia","Hildenbrandia rivularis",NA
"Hildenbrandia","Hildenbrandia rubra",NA
"Himanthalia","Himanthalia elongata",NA
